Phase,Interaction,R2,R2_adj,F_pvalue,N_obs,AIC,BIC,N_Significant
GG_1.0,Year * Sector,0.5276740610895316,0.4970757964958028,1.1688953953505341e-103,905,1927.5091499994874,2196.753506846683,17
GG_1.0,Year * Region,0.45255927246043015,0.44080630768839424,5.6309069345965516e-102,905,1989.0734843389857,2085.232183212984,9
GG_2.0,Year * Sector,0.4036198375003287,0.3748723274762429,3.3080557372044986e-93,1197,2402.299968103487,2687.2040956147334,10
GG_2.0,Year * Region,0.3548501202718899,0.34276042916965965,8.951568058870912e-96,1197,2430.389364530353,2547.403559758186,6
GG_3.0_ERP,Year * Sector,0.314852322132703,0.29415405639068015,3.507773212325059e-120,2013,3992.649616032332,4329.092501570719,21
GG_3.0_ERP,Year * Region,0.2704255966969449,0.2627304372447279,5.626715925783495e-120,2013,4043.120270003161,4166.482661367236,20
