Phase,Model,a_coef,a_pval,a_sig,b_coef,b_pval,b_sig,c_prime_coef,c_prime_pval,c_coef,c_pval,ACME,ADE,Total_Effect,Prop_Mediated,Mediation_Significant,N_obs
GG_2.0,Year -> Region_Num -> log_Valor_USD,-0.28372358444040713,0.0014093519850744516,True,0.07088985282125332,1.3604266063923929e-25,True,-0.040448614841431516,0.047460085192437676,-0.06056173798458931,0.004430706452288749,-0.020113123142898898,-0.040448614841431516,-0.06056173798458931,0.3321094111932014,True,1197
GG_3.0_ERP,Year -> Region_Num -> log_Valor_USD,-0.06475610495954963,0.03129156622242473,True,0.04040165721073147,2.1598148883067867e-14,True,0.0320392167421377,6.4092885127751195e-06,0.029422962787293727,4.2810940602778085e-05,-0.002616253954877872,0.0320392167421377,0.029422962787293727,-0.08891877999477667,True,2013
